#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
/home/nav/amr-mini-project/data/genomes/GCF_014840245.1_ASM1484024v1_genomic.fna	NZ_JACYOY010000026.1	3452	3712	+	IncFII_1	1-261/261	===============	0/0	100.00	100.00	plasmidfinder	AY458016	IncFII_1__AY458016	
/home/nav/amr-mini-project/data/genomes/GCF_014840245.1_ASM1484024v1_genomic.fna	NZ_JACYOY010000039.1	1567	2005	+	IncFIB(Mar)_1_pNDM-Mar	1-439/439	===============	0/0	100.00	99.54	plasmidfinder	JN420336	IncFIB(Mar)_1_pNDM-Mar_JN420336	
/home/nav/amr-mini-project/data/genomes/GCF_014840245.1_ASM1484024v1_genomic.fna	NZ_JACYOY010000067.1	7994	8553	-	IncFIB(K)_1_Kpn3	1-560/560	===============	0/0	100.00	100.00	plasmidfinder	JN233704	IncFIB(K)_1_Kpn3_JN233704	
/home/nav/amr-mini-project/data/genomes/GCF_014840245.1_ASM1484024v1_genomic.fna	NZ_JACYOY010000071.1	5551	5801	+	IncR_1	1-251/251	===============	0/0	100.00	100.00	plasmidfinder	DQ449578	IncR_1__DQ449578	
/home/nav/amr-mini-project/data/genomes/GCF_014840245.1_ASM1484024v1_genomic.fna	NZ_JACYOY010000072.1	8377	8812	-	IncFII(pAR0022)_1	7-442/442	===============	0/0	98.64	81.88	plasmidfinder	CP024882	IncFII(pAR0022)_1__CP024882	
/home/nav/amr-mini-project/data/genomes/GCF_014840245.1_ASM1484024v1_genomic.fna	NZ_JACYOY010000072.1	8846	9083	-	IncFII_1_pKP91	1-230/230	========/======	3/8	100.00	87.39	plasmidfinder	CP000966	IncFII_1_pKP91_CP000966	
/home/nav/amr-mini-project/data/genomes/GCF_014840245.1_ASM1484024v1_genomic.fna	NZ_JACYOY010000078.1	795	1364	+	IncHI1B_1_pNDM-MAR	1-570/570	===============	0/0	100.00	100.00	plasmidfinder	JN420336	IncHI1B_1_pNDM-MAR_JN420336	
/home/nav/amr-mini-project/data/genomes/GCF_014840245.1_ASM1484024v1_genomic.fna	NZ_JACYOY010000080.1	3254	3533	-	ColKP3_1	1-280/280	===============	0/0	100.00	100.00	plasmidfinder	JN205800	ColKP3_1__JN205800	
/home/nav/amr-mini-project/data/genomes/GCF_014840645.1_ASM1484064v1_genomic.fna	NZ_JACYPO010000025.1	7997	8556	-	IncFIB(K)_1_Kpn3	1-560/560	===============	0/0	100.00	100.00	plasmidfinder	JN233704	IncFIB(K)_1_Kpn3_JN233704	
/home/nav/amr-mini-project/data/genomes/GCF_014840645.1_ASM1484064v1_genomic.fna	NZ_JACYPO010000029.1	31871	32531	+	IncL/M(pOXA-48)_1_pOXA-48	1-661/661	===============	0/0	100.00	100.00	plasmidfinder	JN626286	IncL/M(pOXA-48)_1_pOXA-48_JN626286	
/home/nav/amr-mini-project/data/genomes/GCF_014840645.1_ASM1484064v1_genomic.fna	NZ_JACYPO010000035.1	20170	20605	-	IncFII(pAR0022)_1	7-442/442	===============	0/0	98.64	81.42	plasmidfinder	CP024882	IncFII(pAR0022)_1__CP024882	
/home/nav/amr-mini-project/data/genomes/GCF_014840645.1_ASM1484064v1_genomic.fna	NZ_JACYPO010000035.1	20639	20877	-	IncFII_1_pKP91	1-230/230	========/======	4/9	100.00	87.03	plasmidfinder	CP000966	IncFII_1_pKP91_CP000966	
/home/nav/amr-mini-project/data/genomes/GCF_014840645.1_ASM1484064v1_genomic.fna	NZ_JACYPO010000049.1	11139	11577	-	IncFIB(Mar)_1_pNDM-Mar	1-439/439	===============	0/0	100.00	100.00	plasmidfinder	JN420336	IncFIB(Mar)_1_pNDM-Mar_JN420336	
/home/nav/amr-mini-project/data/genomes/GCF_014840645.1_ASM1484064v1_genomic.fna	NZ_JACYPO010000050.1	6119	6369	-	IncR_1	1-251/251	===============	0/0	100.00	100.00	plasmidfinder	DQ449578	IncR_1__DQ449578	
/home/nav/amr-mini-project/data/genomes/GCF_014840645.1_ASM1484064v1_genomic.fna	NZ_JACYPO010000054.1	864	994	+	ColRNAI_1	1-130/130	========/======	1/1	100.00	96.95	plasmidfinder	DQ298019	ColRNAI_1__DQ298019	
/home/nav/amr-mini-project/data/genomes/GCF_014840645.1_ASM1484064v1_genomic.fna	NZ_JACYPO010000055.1	842	1411	+	IncHI1B_1_pNDM-MAR	1-570/570	===============	0/0	100.00	100.00	plasmidfinder	JN420336	IncHI1B_1_pNDM-MAR_JN420336	
/home/nav/amr-mini-project/data/genomes/GCF_014840645.1_ASM1484064v1_genomic.fna	NZ_JACYPO010000061.1	1818	1931	+	Col440I_1	1-114/114	===============	0/0	100.00	97.37	plasmidfinder	CP023920.1	Col440I_1__CP023920.1	
/home/nav/amr-mini-project/data/genomes/GCF_014840645.1_ASM1484064v1_genomic.fna	NZ_JACYPO010000063.1	1756	1883	-	Col(pHAD28)_1	1-129/131	========/======	1/1	97.71	91.47	plasmidfinder	KU674895	Col(pHAD28)_1__KU674895	
/home/nav/amr-mini-project/data/genomes/GCF_014840645.1_ASM1484064v1_genomic.fna	NZ_JACYPO010000083.1	1132	1393	-	Col(MG828)_1	1-262/262	===============	0/0	100.00	91.60	plasmidfinder	NC_008486	Col(MG828)_1__NC_008486	
